Data,Estado,Novos Casos,Casos Acumulados,Novos Óbitos,Óbitos Acumulados
2020-06-30,Paraná,101412,349297,4087,15816
2020-07-31,Paraná,68871,418168,1318,17134
2020-08-31,Paraná,96416,514584,4835,21969
2020-09-30,Paraná,54064,568648,2835,24804
2020-10-31,Paraná,117450,686098,4665,29469
2020-11-30,Paraná,29830,715928,1145,30614
2020-12-31,Paraná,147965,863893,1793,32407
2021-01-31,Paraná,57333,921226,3536,35943
2021-02-28,Paraná,86213,1007439,3454,39397
2021-03-31,Paraná,40746,1048185,325,39722
2021-04-30,Paraná,189476,1237661,4993,44715
2021-05-31,Paraná,107888,1345549,1059,45774
2021-06-30,Paraná,146672,1492221,4648,50422
2021-07-31,Paraná,103179,1595400,915,51337
2021-08-31,Paraná,55714,1651114,4742,56079
2021-09-30,Paraná,119616,1770730,116,56195
2021-10-31,Paraná,197563,1968293,1343,57538
2021-11-30,Paraná,159661,2127954,2624,60162
2021-12-31,Paraná,92989,2220943,3544,63706
2022-01-31,Paraná,53525,2274468,1160,64866
2022-02-28,Paraná,159783,2434251,3520,68386
2022-03-31,Paraná,106752,2541003,401,68787
2022-04-30,Paraná,186308,2727311,706,69493
2022-05-31,Paraná,195312,2922623,1239,70732
2022-06-30,Paraná,75726,2998349,2400,73132
2022-07-31,Paraná,125668,3124017,3075,76207
2022-08-31,Paraná,16102,3140119,1284,77491
2022-09-30,Paraná,128015,3268134,3494,80985
2022-10-31,Paraná,36641,3304775,1916,82901
2022-11-30,Paraná,173817,3478592,669,83570
2022-12-31,Paraná,113746,3592338,1995,85565
2020-03-31,Rio Grande do Sul,192957,192957,3963,3963
2020-04-30,Rio Grande do Sul,82991,275948,4114,8077
2020-05-31,Rio Grande do Sul,21093,297041,1786,9863
2020-06-30,Rio Grande do Sul,45777,342818,254,10117
2020-07-31,Rio Grande do Sul,20729,363547,1509,11626
2020-08-31,Rio Grande do Sul,186089,549636,884,12510
2020-09-30,Rio Grande do Sul,168823,718459,4441,16951
2020-10-31,Rio Grande do Sul,115510,833969,2906,19857
2020-11-30,Rio Grande do Sul,190761,1024730,1941,21798
2020-12-31,Rio Grande do Sul,39592,1064322,2555,24353
2021-01-31,Rio Grande do Sul,149788,1214110,3050,27403
2021-02-28,Rio Grande do Sul,120627,1334737,4880,32283
2021-03-31,Rio Grande do Sul,12368,1347105,3947,36230
2021-04-30,Rio Grande do Sul,16655,1363760,4595,40825
2021-05-31,Rio Grande do Sul,97922,1461682,1266,42091
2021-06-30,Rio Grande do Sul,154475,1616157,2874,44965
2021-07-31,Rio Grande do Sul,134862,1751019,953,45918
2021-08-31,Rio Grande do Sul,128834,1879853,3836,49754
2021-09-30,Rio Grande do Sul,62921,1942774,674,50428
2021-10-31,Rio Grande do Sul,136141,2078915,1248,51676
2021-11-30,Rio Grande do Sul,32677,2111592,1815,53491
2021-12-31,Rio Grande do Sul,80313,2191905,3954,57445
2022-01-31,Rio Grande do Sul,105285,2297190,2591,60036
2022-02-28,Rio Grande do Sul,123632,2420822,3224,63260
2022-03-31,Rio Grande do Sul,13051,2433873,104,63364
2022-04-30,Rio Grande do Sul,97235,2531108,4969,68333
2022-05-31,Rio Grande do Sul,199407,2730515,4242,72575
2022-06-30,Rio Grande do Sul,180806,2911321,4464,77039
2022-07-31,Rio Grande do Sul,27019,2938340,1793,78832
2022-08-31,Rio Grande do Sul,96672,3035012,219,79051
2022-09-30,Rio Grande do Sul,92750,3127762,3775,82826
2022-10-31,Rio Grande do Sul,113481,3241243,1469,84295
2022-11-30,Rio Grande do Sul,100852,3342095,216,84511
2022-12-31,Rio Grande do Sul,15949,3358044,2938,87449
2020-03-31,Pernambuco,142222,142222,2031,2031
2020-04-30,Pernambuco,84740,226962,1764,3795
2020-05-31,Pernambuco,76617,303579,4829,8624
2020-06-30,Pernambuco,26896,330475,2949,11573
2020-07-31,Pernambuco,187247,517722,659,12232
2020-08-31,Pernambuco,30056,547778,4683,16915
2020-09-30,Pernambuco,197628,745406,3443,20358
2020-10-31,Pernambuco,154572,899978,4170,24528
2020-11-30,Pernambuco,39375,939353,1570,26098
2020-12-31,Pernambuco,26964,966317,2394,28492
2021-01-31,Pernambuco,77215,1043532,3606,32098
2021-02-28,Pernambuco,154356,1197888,2844,34942
2021-03-31,Pernambuco,103468,1301356,4145,39087
2021-04-30,Pernambuco,19435,1320791,3218,42305
2021-05-31,Pernambuco,88832,1409623,2241,44546
2021-06-30,Pernambuco,88781,1498404,3159,47705
2021-07-31,Pernambuco,170196,1668600,3059,50764
2021-08-31,Pernambuco,176319,1844919,4746,55510
2021-09-30,Pernambuco,66573,1911492,1857,57367
2021-10-31,Pernambuco,36646,1948138,2949,60316
2021-11-30,Pernambuco,136131,2084269,3830,64146
2021-12-31,Pernambuco,110793,2195062,1731,65877
2022-01-31,Pernambuco,51975,2247037,1448,67325
2022-02-28,Pernambuco,26364,2273401,4711,72036
2022-03-31,Pernambuco,37663,2311064,2939,74975
2022-04-30,Pernambuco,198751,2509815,4692,79667
2022-05-31,Pernambuco,59115,2568930,995,80662
2022-06-30,Pernambuco,159143,2728073,2031,82693
2022-07-31,Pernambuco,21938,2750011,2527,85220
2022-08-31,Pernambuco,101680,2851691,4100,89320
2022-09-30,Pernambuco,111042,2962733,3598,92918
2022-10-31,Pernambuco,113691,3076424,4013,96931
2022-11-30,Pernambuco,92986,3169410,4480,101411
2022-12-31,Pernambuco,118940,3288350,4207,105618
2020-03-31,Ceará,48494,48494,3473,3473
2020-04-30,Ceará,153233,201727,2646,6119
2020-05-31,Ceará,133633,335360,2182,8301
2020-06-30,Ceará,37350,372710,2996,11297
2020-07-31,Ceará,104297,477007,875,12172
2020-08-31,Ceará,98668,575675,1725,13897
2020-09-30,Ceará,75953,651628,214,14111
2020-10-31,Ceará,30358,681986,3367,17478
2020-11-30,Ceará,92745,774731,1616,19094
2020-12-31,Ceará,21338,796069,512,19606
2021-01-31,Ceará,17543,813612,828,20434
2021-02-28,Ceará,70692,884304,2908,23342
2021-03-31,Ceará,54425,938729,2604,25946
2021-04-30,Ceará,176807,1115536,2886,28832
2021-05-31,Ceará,124352,1239888,1222,30054
2021-06-30,Ceará,95999,1335887,1671,31725
2021-07-31,Ceará,47841,1383728,2243,33968
2021-08-31,Ceará,148429,1532157,4232,38200
2021-09-30,Ceará,54811,1586968,3540,41740
2021-10-31,Ceará,161222,1748190,2426,44166
2021-11-30,Ceará,122856,1871046,3014,47180
2021-12-31,Ceará,162424,2033470,4052,51232
2022-01-31,Ceará,24397,2057867,695,51927
2022-02-28,Ceará,188031,2245898,828,52755
2022-03-31,Ceará,191589,2437487,4592,57347
2022-04-30,Ceará,76234,2513721,495,57842
2022-05-31,Ceará,165538,2679259,4271,62113
2022-06-30,Ceará,176342,2855601,1919,64032
2022-07-31,Ceará,61934,2917535,3677,67709
2022-08-31,Ceará,15486,2933021,243,67952
2022-09-30,Ceará,96900,3029921,3240,71192
2022-10-31,Ceará,112795,3142716,3038,74230
2022-11-30,Ceará,97508,3240224,3736,77966
2022-12-31,Ceará,70566,3310790,1267,79233
2020-03-31,Pará,37192,37192,1162,1162
2020-04-30,Pará,94076,131268,3082,4244
2020-05-31,Pará,98461,229729,3394,7638
2020-06-30,Pará,113033,342762,1256,8894
2020-07-31,Pará,164786,507548,832,9726
2020-08-31,Pará,112634,620182,4946,14672
2020-09-30,Pará,189208,809390,1053,15725
2020-10-31,Pará,185333,994723,1642,17367
2020-11-30,Pará,31677,1026400,1291,18658
2020-12-31,Pará,49081,1075481,3093,21751
2021-01-31,Pará,29065,1104546,1317,23068
2021-02-28,Pará,98092,1202638,3336,26404
2021-03-31,Pará,64693,1267331,2486,28890
2021-04-30,Pará,38295,1305626,1488,30378
2021-05-31,Pará,167504,1473130,1465,31843
2021-06-30,Pará,198926,1672056,4412,36255
2021-07-31,Pará,142396,1814452,1255,37510
2021-08-31,Pará,176981,1991433,3586,41096
2021-09-30,Pará,175650,2167083,3023,44119
2021-10-31,Pará,36790,2203873,4286,48405
2021-11-30,Pará,35289,2239162,3702,52107
2021-12-31,Pará,25485,2264647,3622,55729
2022-01-31,Pará,96188,2360835,4848,60577
2022-02-28,Pará,150507,2511342,3809,64386
2022-03-31,Pará,133961,2645303,555,64941
2022-04-30,Pará,154188,2799491,994,65935
2022-05-31,Pará,183416,2982907,2058,67993
2022-06-30,Pará,62224,3045131,2096,70089
2022-07-31,Pará,90219,3135350,4385,74474
2022-08-31,Pará,76040,3211390,1314,75788
2022-09-30,Pará,38016,3249406,923,76711
2022-10-31,Pará,113333,3362739,233,76944
2022-11-30,Pará,46395,3409134,4880,81824
2022-12-31,Pará,139695,3548829,1952,83776
2020-03-31,Goiás,138148,138148,4275,4275
2020-04-30,Goiás,103396,241544,4398,8673
2020-05-31,Goiás,31732,273276,1350,10023
2020-06-30,Goiás,171426,444702,3612,13635
2020-07-31,Goiás,124065,568767,1356,14991
2020-08-31,Goiás,62528,631295,3586,18577
2020-09-30,Goiás,193808,825103,1496,20073
2020-10-31,Goiás,120133,945236,3430,23503
2020-11-30,Goiás,160159,1105395,570,24073
2020-12-31,Goiás,165576,1270971,1453,25526
2021-01-31,Goiás,152047,1423018,2931,28457
2021-02-28,Goiás,31447,1454465,457,28914
2021-03-31,Goiás,135899,1590364,767,29681
2021-04-30,Goiás,129156,1719520,1245,30926
2021-05-31,Goiás,56427,1775947,4285,35211
2021-06-30,Goiás,112023,1887970,2845,38056
2021-07-31,Goiás,115787,2003757,639,38695
2021-08-31,Goiás,168427,2172184,4236,42931
2021-09-30,Goiás,14835,2187019,3875,46806
2021-10-31,Goiás,188677,2375696,2608,49414
2021-11-30,Goiás,176619,2552315,1024,50438
2021-12-31,Goiás,37532,2589847,1681,52119
2022-01-31,Goiás,132402,2722249,3424,55543
2022-02-28,Goiás,186517,2908766,355,55898
2022-03-31,Goiás,60990,2969756,2044,57942
2022-04-30,Goiás,139473,3109229,109,58051
2022-05-31,Goiás,68141,3177370,1115,59166
2022-06-30,Goiás,71813,3249183,3236,62402
2022-07-31,Goiás,110497,3359680,323,62725
2022-08-31,Goiás,122816,3482496,4258,66983
2022-09-30,Goiás,30309,3512805,4884,71867
2022-10-31,Goiás,56540,3569345,4100,75967
2022-11-30,Goiás,28017,3597362,2252,78219
2022-12-31,Goiás,115570,3712932,610,78829
